,subjects_in_train,subjects_in_test,acc
0,"[10, 11, 14, 16, 17]",[2],0.9411764705882353
1,"[10, 11, 14, 16, 17]",[3],0.75
2,"[10, 11, 14, 16, 17]",[4],0.9487179487179487
3,"[10, 11, 14, 16, 17]",[5],0.9
4,"[10, 11, 14, 16, 17]",[6],0.9534883720930233
5,"[10, 11, 14, 16, 17]",[7],0.9302325581395349
6,"[10, 11, 14, 16, 17]",[8],0.9230769230769231
7,"[10, 11, 14, 16, 17]",[9],0.9761904761904762
8,"[10, 11, 14, 16, 17]",[13],0.9019607843137255
9,"[10, 11, 14, 16, 17]",[15],1.0
10,"[5, 11, 14, 16, 17]",[2],0.8823529411764706
11,"[5, 11, 14, 16, 17]",[3],0.7777777777777778
12,"[5, 11, 14, 16, 17]",[4],0.9230769230769231
13,"[5, 11, 14, 16, 17]",[6],0.9767441860465116
14,"[5, 11, 14, 16, 17]",[7],0.9302325581395349
15,"[5, 11, 14, 16, 17]",[8],0.8974358974358975
16,"[5, 11, 14, 16, 17]",[9],0.9761904761904762
17,"[5, 11, 14, 16, 17]",[10],0.9183673469387755
18,"[5, 11, 14, 16, 17]",[13],0.9411764705882353
19,"[5, 11, 14, 16, 17]",[15],1.0
20,"[5, 10, 11, 14, 17]",[2],0.9411764705882353
21,"[5, 10, 11, 14, 17]",[3],0.7222222222222222
22,"[5, 10, 11, 14, 17]",[4],0.9487179487179487
23,"[5, 10, 11, 14, 17]",[6],0.9767441860465116
24,"[5, 10, 11, 14, 17]",[7],0.9302325581395349
25,"[5, 10, 11, 14, 17]",[8],0.9487179487179487
26,"[5, 10, 11, 14, 17]",[9],1.0
27,"[5, 10, 11, 14, 17]",[13],0.9411764705882353
28,"[5, 10, 11, 14, 17]",[15],0.95
29,"[5, 10, 11, 14, 17]",[16],0.8085106382978723
30,"[10, 11, 13, 16, 17]",[2],0.9411764705882353
31,"[10, 11, 13, 16, 17]",[3],0.6666666666666666
32,"[10, 11, 13, 16, 17]",[4],0.9743589743589743
33,"[10, 11, 13, 16, 17]",[5],0.9
34,"[10, 11, 13, 16, 17]",[6],0.9767441860465116
35,"[10, 11, 13, 16, 17]",[7],0.9302325581395349
36,"[10, 11, 13, 16, 17]",[8],0.8974358974358975
37,"[10, 11, 13, 16, 17]",[9],0.9761904761904762
38,"[10, 11, 13, 16, 17]",[14],0.7948717948717948
39,"[10, 11, 13, 16, 17]",[15],1.0
40,"[3, 5, 11, 16, 17]",[2],0.8823529411764706
41,"[3, 5, 11, 16, 17]",[4],0.9230769230769231
42,"[3, 5, 11, 16, 17]",[6],0.9534883720930233
43,"[3, 5, 11, 16, 17]",[7],0.9302325581395349
44,"[3, 5, 11, 16, 17]",[8],0.8717948717948718
45,"[3, 5, 11, 16, 17]",[9],0.9761904761904762
46,"[3, 5, 11, 16, 17]",[10],0.8367346938775511
47,"[3, 5, 11, 16, 17]",[13],0.9215686274509803
48,"[3, 5, 11, 16, 17]",[14],0.7692307692307693
49,"[3, 5, 11, 16, 17]",[15],1.0
50,"[4, 11, 14, 16, 17]",[2],0.9117647058823529
51,"[4, 11, 14, 16, 17]",[3],0.7222222222222222
52,"[4, 11, 14, 16, 17]",[5],0.925
53,"[4, 11, 14, 16, 17]",[6],0.9534883720930233
54,"[4, 11, 14, 16, 17]",[7],0.9069767441860465
55,"[4, 11, 14, 16, 17]",[8],0.8974358974358975
56,"[4, 11, 14, 16, 17]",[9],0.9523809523809523
57,"[4, 11, 14, 16, 17]",[10],0.9183673469387755
58,"[4, 11, 14, 16, 17]",[13],0.9607843137254902
59,"[4, 11, 14, 16, 17]",[15],1.0
60,"[3, 10, 11, 16, 17]",[2],0.9411764705882353
61,"[3, 10, 11, 16, 17]",[4],0.9743589743589743
62,"[3, 10, 11, 16, 17]",[5],0.9
63,"[3, 10, 11, 16, 17]",[6],0.9302325581395349
64,"[3, 10, 11, 16, 17]",[7],0.9302325581395349
65,"[3, 10, 11, 16, 17]",[8],0.8717948717948718
66,"[3, 10, 11, 16, 17]",[9],0.9523809523809523
67,"[3, 10, 11, 16, 17]",[13],0.8823529411764706
68,"[3, 10, 11, 16, 17]",[14],0.8205128205128205
69,"[3, 10, 11, 16, 17]",[15],0.95
70,"[3, 8, 11, 13, 16]",[2],0.9411764705882353
71,"[3, 8, 11, 13, 16]",[4],0.9743589743589743
72,"[3, 8, 11, 13, 16]",[5],0.925
73,"[3, 8, 11, 13, 16]",[6],0.9767441860465116
74,"[3, 8, 11, 13, 16]",[7],0.9302325581395349
75,"[3, 8, 11, 13, 16]",[9],1.0
76,"[3, 8, 11, 13, 16]",[10],0.9591836734693877
77,"[3, 8, 11, 13, 16]",[14],0.8461538461538461
78,"[3, 8, 11, 13, 16]",[15],1.0
79,"[3, 8, 11, 13, 16]",[17],0.5
