,subjects_in_train,subjects_in_test,acc
0,"[3, 4, 8, 11, 14, 16, 17]",[2],0.8823529411764706
1,"[3, 4, 8, 11, 14, 16, 17]",[3],1.0
2,"[3, 4, 8, 11, 14, 16, 17]",[4],1.0
3,"[3, 4, 8, 11, 14, 16, 17]",[5],0.925
4,"[3, 4, 8, 11, 14, 16, 17]",[6],0.9767441860465116
5,"[3, 4, 8, 11, 14, 16, 17]",[7],0.9534883720930233
6,"[3, 4, 8, 11, 14, 16, 17]",[8],1.0
7,"[3, 4, 8, 11, 14, 16, 17]",[9],0.9761904761904762
8,"[3, 4, 8, 11, 14, 16, 17]",[10],0.8979591836734694
9,"[3, 4, 8, 11, 14, 16, 17]",[11],1.0
10,"[3, 4, 8, 11, 14, 16, 17]",[13],0.8823529411764706
11,"[3, 4, 8, 11, 14, 16, 17]",[14],1.0
12,"[3, 4, 8, 11, 14, 16, 17]",[15],0.95
13,"[3, 4, 8, 11, 14, 16, 17]",[16],1.0
14,"[3, 4, 8, 11, 14, 16, 17]",[17],1.0
15,"[3, 4, 6, 8, 10, 11, 15]",[2],0.8529411764705882
16,"[3, 4, 6, 8, 10, 11, 15]",[3],1.0
17,"[3, 4, 6, 8, 10, 11, 15]",[4],1.0
18,"[3, 4, 6, 8, 10, 11, 15]",[5],0.975
19,"[3, 4, 6, 8, 10, 11, 15]",[6],1.0
20,"[3, 4, 6, 8, 10, 11, 15]",[7],0.9534883720930233
21,"[3, 4, 6, 8, 10, 11, 15]",[8],1.0
22,"[3, 4, 6, 8, 10, 11, 15]",[9],1.0
23,"[3, 4, 6, 8, 10, 11, 15]",[10],1.0
24,"[3, 4, 6, 8, 10, 11, 15]",[11],1.0
25,"[3, 4, 6, 8, 10, 11, 15]",[13],0.9019607843137255
26,"[3, 4, 6, 8, 10, 11, 15]",[14],0.8205128205128205
27,"[3, 4, 6, 8, 10, 11, 15]",[15],1.0
28,"[3, 4, 6, 8, 10, 11, 15]",[16],1.0
29,"[3, 4, 6, 8, 10, 11, 15]",[17],0.3333333333333333
30,"[3, 8, 9, 10, 11, 13, 14]",[2],0.9117647058823529
31,"[3, 8, 9, 10, 11, 13, 14]",[3],1.0
32,"[3, 8, 9, 10, 11, 13, 14]",[4],0.9743589743589743
33,"[3, 8, 9, 10, 11, 13, 14]",[5],0.95
34,"[3, 8, 9, 10, 11, 13, 14]",[6],0.9767441860465116
35,"[3, 8, 9, 10, 11, 13, 14]",[7],0.9534883720930233
36,"[3, 8, 9, 10, 11, 13, 14]",[8],1.0
37,"[3, 8, 9, 10, 11, 13, 14]",[9],1.0
38,"[3, 8, 9, 10, 11, 13, 14]",[10],1.0
39,"[3, 8, 9, 10, 11, 13, 14]",[11],1.0
40,"[3, 8, 9, 10, 11, 13, 14]",[13],1.0
41,"[3, 8, 9, 10, 11, 13, 14]",[14],1.0
42,"[3, 8, 9, 10, 11, 13, 14]",[15],1.0
43,"[3, 8, 9, 10, 11, 13, 14]",[16],1.0
44,"[3, 8, 9, 10, 11, 13, 14]",[17],0.3888888888888889
45,"[4, 8, 9, 11, 14, 16, 17]",[2],0.9117647058823529
46,"[4, 8, 9, 11, 14, 16, 17]",[3],0.7222222222222222
47,"[4, 8, 9, 11, 14, 16, 17]",[4],1.0
48,"[4, 8, 9, 11, 14, 16, 17]",[5],0.95
49,"[4, 8, 9, 11, 14, 16, 17]",[6],0.9767441860465116
50,"[4, 8, 9, 11, 14, 16, 17]",[7],0.9534883720930233
51,"[4, 8, 9, 11, 14, 16, 17]",[8],1.0
52,"[4, 8, 9, 11, 14, 16, 17]",[9],1.0
53,"[4, 8, 9, 11, 14, 16, 17]",[10],0.9387755102040817
54,"[4, 8, 9, 11, 14, 16, 17]",[11],1.0
55,"[4, 8, 9, 11, 14, 16, 17]",[13],0.9215686274509803
56,"[4, 8, 9, 11, 14, 16, 17]",[14],1.0
57,"[4, 8, 9, 11, 14, 16, 17]",[15],0.95
58,"[4, 8, 9, 11, 14, 16, 17]",[16],1.0
59,"[4, 8, 9, 11, 14, 16, 17]",[17],1.0
60,"[3, 5, 6, 8, 11, 14, 17]",[2],0.8823529411764706
61,"[3, 5, 6, 8, 11, 14, 17]",[3],1.0
62,"[3, 5, 6, 8, 11, 14, 17]",[4],0.9487179487179487
63,"[3, 5, 6, 8, 11, 14, 17]",[5],1.0
64,"[3, 5, 6, 8, 11, 14, 17]",[6],1.0
65,"[3, 5, 6, 8, 11, 14, 17]",[7],0.9534883720930233
66,"[3, 5, 6, 8, 11, 14, 17]",[8],1.0
67,"[3, 5, 6, 8, 11, 14, 17]",[9],1.0
68,"[3, 5, 6, 8, 11, 14, 17]",[10],0.8367346938775511
69,"[3, 5, 6, 8, 11, 14, 17]",[11],1.0
70,"[3, 5, 6, 8, 11, 14, 17]",[13],0.8823529411764706
71,"[3, 5, 6, 8, 11, 14, 17]",[14],1.0
72,"[3, 5, 6, 8, 11, 14, 17]",[15],0.975
73,"[3, 5, 6, 8, 11, 14, 17]",[16],0.8936170212765957
74,"[3, 5, 6, 8, 11, 14, 17]",[17],1.0
75,"[3, 4, 7, 9, 11, 14, 16]",[2],0.9117647058823529
76,"[3, 4, 7, 9, 11, 14, 16]",[3],1.0
77,"[3, 4, 7, 9, 11, 14, 16]",[4],1.0
78,"[3, 4, 7, 9, 11, 14, 16]",[5],0.9
79,"[3, 4, 7, 9, 11, 14, 16]",[6],0.9767441860465116
80,"[3, 4, 7, 9, 11, 14, 16]",[7],1.0
81,"[3, 4, 7, 9, 11, 14, 16]",[8],0.8461538461538461
82,"[3, 4, 7, 9, 11, 14, 16]",[9],1.0
83,"[3, 4, 7, 9, 11, 14, 16]",[10],1.0
84,"[3, 4, 7, 9, 11, 14, 16]",[11],1.0
85,"[3, 4, 7, 9, 11, 14, 16]",[13],0.9607843137254902
86,"[3, 4, 7, 9, 11, 14, 16]",[14],1.0
87,"[3, 4, 7, 9, 11, 14, 16]",[15],1.0
88,"[3, 4, 7, 9, 11, 14, 16]",[16],1.0
89,"[3, 4, 7, 9, 11, 14, 16]",[17],0.4166666666666667
90,"[3, 5, 8, 11, 13, 14, 17]",[2],0.9117647058823529
91,"[3, 5, 8, 11, 13, 14, 17]",[3],1.0
92,"[3, 5, 8, 11, 13, 14, 17]",[4],0.9230769230769231
93,"[3, 5, 8, 11, 13, 14, 17]",[5],1.0
94,"[3, 5, 8, 11, 13, 14, 17]",[6],0.9767441860465116
95,"[3, 5, 8, 11, 13, 14, 17]",[7],0.9534883720930233
96,"[3, 5, 8, 11, 13, 14, 17]",[8],1.0
97,"[3, 5, 8, 11, 13, 14, 17]",[9],0.9761904761904762
98,"[3, 5, 8, 11, 13, 14, 17]",[10],0.8571428571428571
99,"[3, 5, 8, 11, 13, 14, 17]",[11],1.0
100,"[3, 5, 8, 11, 13, 14, 17]",[13],1.0
101,"[3, 5, 8, 11, 13, 14, 17]",[14],1.0
102,"[3, 5, 8, 11, 13, 14, 17]",[15],1.0
103,"[3, 5, 8, 11, 13, 14, 17]",[16],0.8723404255319149
104,"[3, 5, 8, 11, 13, 14, 17]",[17],1.0
105,"[3, 4, 5, 6, 8, 11, 17]",[2],0.8823529411764706
106,"[3, 4, 5, 6, 8, 11, 17]",[3],1.0
107,"[3, 4, 5, 6, 8, 11, 17]",[4],1.0
108,"[3, 4, 5, 6, 8, 11, 17]",[5],1.0
109,"[3, 4, 5, 6, 8, 11, 17]",[6],1.0
110,"[3, 4, 5, 6, 8, 11, 17]",[7],0.9534883720930233
111,"[3, 4, 5, 6, 8, 11, 17]",[8],1.0
112,"[3, 4, 5, 6, 8, 11, 17]",[9],0.9761904761904762
113,"[3, 4, 5, 6, 8, 11, 17]",[10],0.8571428571428571
114,"[3, 4, 5, 6, 8, 11, 17]",[11],1.0
115,"[3, 4, 5, 6, 8, 11, 17]",[13],0.9019607843137255
116,"[3, 4, 5, 6, 8, 11, 17]",[14],0.717948717948718
117,"[3, 4, 5, 6, 8, 11, 17]",[15],0.975
118,"[3, 4, 5, 6, 8, 11, 17]",[16],0.9148936170212766
119,"[3, 4, 5, 6, 8, 11, 17]",[17],1.0
120,"[2, 3, 6, 11, 13, 14, 17]",[2],1.0
121,"[2, 3, 6, 11, 13, 14, 17]",[3],1.0
122,"[2, 3, 6, 11, 13, 14, 17]",[4],0.9230769230769231
123,"[2, 3, 6, 11, 13, 14, 17]",[5],0.875
124,"[2, 3, 6, 11, 13, 14, 17]",[6],1.0
125,"[2, 3, 6, 11, 13, 14, 17]",[7],0.9534883720930233
126,"[2, 3, 6, 11, 13, 14, 17]",[8],0.8461538461538461
127,"[2, 3, 6, 11, 13, 14, 17]",[9],0.9761904761904762
