,subjects_in_train,subjects_in_test,acc
0,"[3, 10, 11, 16, 17]",[2],0.9411764705882353
1,"[3, 10, 11, 16, 17]",[3],1.0
2,"[3, 10, 11, 16, 17]",[4],0.9743589743589743
3,"[3, 10, 11, 16, 17]",[5],0.95
4,"[3, 10, 11, 16, 17]",[6],0.9767441860465116
5,"[3, 10, 11, 16, 17]",[7],0.9534883720930233
6,"[3, 10, 11, 16, 17]",[8],0.8717948717948718
7,"[3, 10, 11, 16, 17]",[9],1.0
8,"[3, 10, 11, 16, 17]",[10],1.0
9,"[3, 10, 11, 16, 17]",[11],1.0
10,"[3, 10, 11, 16, 17]",[13],0.8627450980392157
11,"[3, 10, 11, 16, 17]",[14],0.7435897435897436
12,"[3, 10, 11, 16, 17]",[15],0.95
13,"[3, 10, 11, 16, 17]",[16],1.0
14,"[3, 10, 11, 16, 17]",[17],1.0
15,"[3, 5, 7, 10, 17]",[2],0.9411764705882353
16,"[3, 5, 7, 10, 17]",[3],1.0
17,"[3, 5, 7, 10, 17]",[4],0.9743589743589743
18,"[3, 5, 7, 10, 17]",[5],1.0
19,"[3, 5, 7, 10, 17]",[6],1.0
20,"[3, 5, 7, 10, 17]",[7],1.0
21,"[3, 5, 7, 10, 17]",[8],0.9230769230769231
22,"[3, 5, 7, 10, 17]",[9],1.0
23,"[3, 5, 7, 10, 17]",[10],1.0
24,"[3, 5, 7, 10, 17]",[11],0.7608695652173914
25,"[3, 5, 7, 10, 17]",[13],0.9607843137254902
26,"[3, 5, 7, 10, 17]",[14],0.7692307692307693
27,"[3, 5, 7, 10, 17]",[15],1.0
28,"[3, 5, 7, 10, 17]",[16],0.9574468085106383
29,"[3, 5, 7, 10, 17]",[17],1.0
30,"[3, 7, 8, 11, 13]",[2],0.9411764705882353
31,"[3, 7, 8, 11, 13]",[3],1.0
32,"[3, 7, 8, 11, 13]",[4],0.9743589743589743
33,"[3, 7, 8, 11, 13]",[5],0.95
34,"[3, 7, 8, 11, 13]",[6],0.9767441860465116
35,"[3, 7, 8, 11, 13]",[7],1.0
36,"[3, 7, 8, 11, 13]",[8],1.0
37,"[3, 7, 8, 11, 13]",[9],1.0
38,"[3, 7, 8, 11, 13]",[10],0.8979591836734694
39,"[3, 7, 8, 11, 13]",[11],1.0
40,"[3, 7, 8, 11, 13]",[13],1.0
41,"[3, 7, 8, 11, 13]",[14],0.8974358974358975
42,"[3, 7, 8, 11, 13]",[15],1.0
43,"[3, 7, 8, 11, 13]",[16],0.9787234042553191
44,"[3, 7, 8, 11, 13]",[17],0.5555555555555556
45,"[3, 7, 10, 15, 17]",[2],0.9411764705882353
46,"[3, 7, 10, 15, 17]",[3],1.0
47,"[3, 7, 10, 15, 17]",[4],0.9743589743589743
48,"[3, 7, 10, 15, 17]",[5],0.9
49,"[3, 7, 10, 15, 17]",[6],0.9534883720930233
50,"[3, 7, 10, 15, 17]",[7],1.0
